"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Early to Thin (Up)","GO:0002181","cytoplasmic translation","59/484","181/6447",0.325966850828729,4.34195927126615,12.9921393997993,9.49333178944649e-24,1.2160958022281e-20,1.0792419297476e-20,"851484/851478/851427/851344/851336/852058/852082/852111/856656/856784/856805/856853/856868/850592/852852/852804/852775/852730/852976/853051/856401/856544/854759/853250/853249/853557/853864/853969/850764/850827/850909/850969/850994/851035/851169/854984/854982/854939/854883/855232/855283/855302/9164934/9164945/9164928/855658/855655/855628/855547/855543/854117/854029/854263/854468/854489/856026/855826/856156/856217",59
"Early to Thin (Up)","GO:0045333","cellular respiration","29/484","112/6447",0.258928571428571,3.44899276859504,7.44832521989554,1.70818741903735e-09,1.09409404189342e-06,9.70969690821228e-07,"852260/852250/851492/852098/852142/856794/850610/853159/853230/853507/853584/853585/850727/850871/851013/851111/855014/855298/855700/855691/855675/855606/855732/854303/854538/855866/855857/856107/856321",29
"Early to Thin (Up)","GO:0042274","ribosomal small subunit biogenesis","30/484","145/6447",0.206896551724138,2.75591336563123,6.09232850654342,2.27577418700783e-07,7.00363824142029e-05,6.21548075166105e-05,"852337/852479/852487/851388/851589/851893/852058/856805/856839/852972/853029/856462/850649/850757/850864/850969/851154/854984/854982/854939/855174/855628/855414/854152/854117/854028/854263/854487/854551/856015",30
"Early to Thin (Up)","GO:0042255","ribosome assembly","20/484","85/6447",0.235294117647059,3.13417598444336,5.64258728327624,3.08545606205478e-06,0.000439163246165796,0.000389741818364814,"852337/851589/852058/856656/856868/852976/853864/853860/853969/850695/850764/850864/850969/851169/854984/855414/854117/854028/854551/856217",20
"Early to Thin (Up)","GO:1902600","proton transmembrane transport","23/484","108/6447",0.212962962962963,2.83671946740129,5.48377664626985,3.57102858658753e-06,0.000457448761941863,0.000405969565633109,"851560/851492/851352/851922/852142/852149/856640/853216/853585/853853/853663/850727/850827/851002/851111/854893/855298/855675/855809/854077/855857/856131/856321",23
"Early to Thin (Up)","GO:0015986","proton motive force-driven ATP synthesis","9/484","20/6447",0.45,5.99411157024793,6.37242180528035,5.588662784995e-06,0.000596300945775607,0.000529195958287239,"851560/851922/853585/853853/851002/854893/854077/855857/856131",9
"Early to Thin (Up)","GO:0000028","ribosomal small subunit assembly","10/484","25/6447",0.4,5.32809917355372,6.17685610270887,6.05145378226611e-06,0.000596300945775607,0.000529195958287239,"852337/851589/852058/850864/850969/854984/855414/854117/854028/854551",10
"Early to Thin (Up)","GO:0007007","inner mitochondrial membrane organization","12/484","37/6447",0.324324324324324,4.3200804109895,5.76973512639324,9.12484632542237e-06,0.000834923438776147,0.00074096496477114,"852388/852483/852566/851922/856693/850563/853093/856395/853600/850865/851002/856131",12
"Early to Thin (Up)","GO:0030490","maturation of SSU-rRNA","23/484","120/6447",0.191666666666667,2.55304752066116,4.89228644448707,2.25048988272723e-05,0.00169581031751387,0.00150497156244298,"852337/852479/852487/851388/851589/851893/856805/856839/852972/853029/856462/850649/850757/850864/850969/851154/854982/854939/855174/854152/854487/854551/856015",23
"Early to Thin (Up)","GO:0006163","purine nucleotide metabolic process","24/484","140/6447",0.171428571428571,2.28347107438017,4.37395302463214,9.91793811222921e-05,0.00529369946740234,0.00469797068474015,"852554/851560/851812/851922/852009/852617/854651/853585/853853/853955/850871/851002/854986/854893/855176/855480/854077/854262/854295/854397/856044/855857/856131/856188",24
"Early to Thin (Up)","GO:0006839","mitochondrial transport","17/484","84/6447",0.202380952380952,2.69576446280992,4.4566613855601,0.000131098774166675,0.00610008628522604,0.00541361040966689,"852250/852388/856693/856779/853093/853158/856395/853503/853540/853600/850694/850963/855243/855282/854185/854210/854397",17
"Early to Thin (Up)","GO:0009070","serine family amino acid biosynthetic process","8/484","24/6447",0.333333333333333,4.4400826446281,4.80995444042378,0.000238616129397717,0.00926264429571138,0.00822026857255293,"851221/856778/854736/854834/853869/850747/851010/856296",8
"Early to Thin (Up)","GO:0071826","protein-RNA complex organization","28/484","185/6447",0.151351351351351,2.01603752512843,3.99461112572459,0.000250057348528061,0.00942127833718958,0.00836105066285775,"852337/851589/852058/856656/852976/853516/853864/853860/853969/850695/850764/850864/850969/851035/851169/854984/855224/855302/9164888/9164899/9164900/9164922/855547/855414/854117/854028/854551/856217",28
"Early to Thin (Up)","GO:0019400","alditol metabolic process","7/484","19/6447",0.368421052631579,4.90745976511527,4.85924512883713,0.000292437969782241,0.01070322969403,0.00949873706360363,"856639/850491/856353/854651/853624/855810/855900",7
"Early to Thin (Up)","GO:0005975","carbohydrate metabolic process","36/484","265/6447",0.135849056603774,1.80954311554655,3.83383879010293,0.000316327744854917,0.011011031242161,0.0097719000300209,"852600/852602/852123/856639/856720/856794/850491/850569/850603/852856/852818/853102/856353/856439/854683/854651/854644/853418/853487/853624/853972/850871/851092/854980/855176/855255/855352/855606/855480/855732/855804/855808/855810/854262/855900/856107",36
"Early to Thin (Up)","GO:0019752","carboxylic acid metabolic process","45/484","358/6447",0.125698324022346,1.67433284085138,3.74005736885017,0.000350839997212571,0.0115237445238283,0.0102269148985041,"851221/851285/852266/852378/850332/850400/851307/851956/851987/852123/856638/856778/856782/856794/850610/852818/852729/853025/853203/856539/854736/854834/853230/853466/853869/850664/850747/850871/851010/851087/851158/855691/855606/855444/855732/854096/854303/854557/856044/855993/855866/856107/856108/856114/856296",45
"Early to Thin (Up)","GO:0140694","membraneless organelle assembly","26/484","171/6447",0.152046783625731,2.0253008554444,3.87117972209437,0.000384336892209477,0.0122357414592961,0.0108587869477298,"852337/851589/852058/852119/856656/856868/852751/852976/853002/853864/853860/853969/850695/850764/850864/850969/851169/854984/855013/855414/854117/854028/854223/854551/856217/856236",26
"Early to Thin (Up)","GO:0170038","proteinogenic amino acid biosynthetic process","19/484","109/6447",0.174311926605505,2.32187808021836,3.96518960815866,0.000417653266059891,0.0122357414592961,0.0108587869477298,"851956/856778/856782/853025/856539/854736/854834/853230/853869/850664/850747/851010/851158/855691/855444/854096/854303/854557/856296",19
"Early to Thin (Up)","GO:0046942","carboxylic acid transport","15/484","76/6447",0.197368421052632,2.62899630274032,4.06966366739753,0.000429826983347639,0.0122357414592961,0.0108587869477298,"851230/852360/852361/850333/851713/852121/852946/853158/856349/853558/853663/853882/855282/854397/855863",15
"Early to Thin (Up)","GO:0015849","organic acid transport","15/484","78/6447",0.192307692307692,2.5615861411316,3.95287471433323,0.0005748483403727,0.0153020132487558,0.0135799945015458,"851230/852360/852361/850333/851713/852121/852946/853158/856349/853558/853663/853882/855282/854397/855863",15
"Early to Thin (Up)","GO:0006812","monoatomic cation transport","30/484","214/6447",0.14018691588785,1.86732447671275,3.6759987304747,0.000585322911154592,0.0153020132487558,0.0135799945015458,"852250/852599/851560/851492/851352/851713/851922/852142/852149/856640/856779/856888/853216/853585/853853/853663/850651/850727/850827/851002/851111/854893/855080/855298/855675/855809/854077/855857/856131/856321",30
