"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Early to Thin (Up)","Genetic Information Processing","Translation","sce03010","Ribosome","74/243","214/2564",0.345794392523364,3.6486288988885,13.0928423464046,4.82331808089001e-27,4.19628673037431e-25,3.85865446471201e-25,"YBR048W/YBR181C/YBR189W/YBR268W/YDL045W-A/YDL075W/YDL081C/YDL130W/YDL184C/YDL191W/YDR025W/YDR447C/YDR471W/YDR500C/YEL054C/YER056C-A/YER074W/YER102W/YER117W/YER131W/YFR032C-A/YFR049W/YGL031C/YGL068W/YGL076C/YGL103W/YGL147C/YGR085C/YGR148C/YHR010W/YHR141C/YIL052C/YJL189W/YJL190C/YJR094W-A/YKL006W/YKR094C/YLR009W/YLR075W/YLR167W/YLR264W/YLR287C-A/YLR312W-A/YLR325C/YLR448W/YML009C/YML024W/YML026C/YML063W/YMR143W/YMR158W/YMR194W/YMR242C/YNCL0014C/YNCL0018W/YNCL0027W/YNL067W/YNL069C/YNL096C/YNL178W/YNL302C/YOL040C/YOL120C/YOL121C/YOR096W/YOR293W/YOR312C/YOR369C/YPL013C/YPL079W/YPL090C/YPL249C-A/YPR043W/YPR102C",74
"Early to Thin (Up)","Metabolism","Energy metabolism","sce00190","Oxidative phosphorylation","19/243","79/2564",0.240506329113924,2.53768818044486,4.49115966494773,8.64497468078539e-05,0.00376056398614164,0.00345798987231416,"YDL004W/YDL067C/YDR322C-A/YDR529C/YJR048W/YJR121W/YKL016C/YLL009C/YLR038C/YLR295C/YLR395C/YML081C-A/YMR145C/YMR256C/YNL052W/YOL077W-A/YPL271W/YPR020W/YPR191W",19
"Early to Thin (Up)","Metabolism","Global and overview maps","sce01200","Carbon metabolism","23/243","113/2564",0.20353982300885,2.14763829709749,4.03656981385412,0.000246083057178622,0.00713640865818003,0.00656221485809658,"YDL168W/YER065C/YFL053W/YGL062W/YGR244C/YIL074C/YKR097W/YLR058C/YLR174W/YLR303W/YLR304C/YLR377C/YNL037C/YNL117W/YNL241C/YNR001C/YOR095C/YOR136W/YPL262W/YPR001W/YPR002W/YPR006C/YPR074C",23
"Early to Thin (Up)","Metabolism","Carbohydrate metabolism","sce00020","Citrate cycle (TCA cycle)","10/243","31/2564",0.32258064516129,3.40369042878003,4.35593766121197,0.00035826938272336,0.00779235907423309,0.00716538765446721,"YGL062W/YGR244C/YKR097W/YLR174W/YLR304C/YNL037C/YNR001C/YOR136W/YPL262W/YPR001W",10
"Early to Thin (Up)","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","53/243","372/2564",0.14247311827957,1.50329660604452,3.39637055010488,0.000806876667775892,0.0140396540193005,0.0129100266844143,"YAL012W/YBR052C/YBR256C/YCR034W/YCR105W/YDL055C/YDL166C/YDL168W/YDR032C/YDR226W/YDR354W/YDR487C/YER003C/YER052C/YER055C/YER065C/YFL053W/YFR015C/YGL148W/YGL234W/YGR124W/YGR244C/YHL032C/YHR137W/YIL074C/YIL155C/YIL162W/YJL200C/YJR010W/YKR097W/YLL062C/YLR058C/YLR174W/YLR303W/YLR304C/YLR372W/YLR377C/YLR438W/YNL037C/YNL117W/YNL241C/YNL277W/YNR001C/YOL058W/YOR095C/YOR128C/YOR136W/YPL061W/YPL111W/YPL262W/YPR001W/YPR006C/YPR074C",53
"Early to Thin (Up)","Metabolism","Global and overview maps","sce01230","Biosynthesis of amino acids","22/243","125/2564",0.176,1.85705349794239,3.17831478212816,0.00260675094077038,0.0377978886411704,0.0347566792102717,"YAL012W/YDR354W/YER052C/YER055C/YGL062W/YGL148W/YGR124W/YIL074C/YJL200C/YLR058C/YLR174W/YLR303W/YLR304C/YNL037C/YNL277W/YNR001C/YOL058W/YOR095C/YOR136W/YPL111W/YPR001W/YPR074C",22
"Early to Thin (Down)","Metabolism","Global and overview maps","sce01110","Biosynthesis of secondary metabolites","64/146","372/2564",0.172043010752688,3.02135807924584,10.3589809026156,6.31209113078059e-19,4.98655199331666e-17,3.18926709765756e-17,"YAL038W/YAL060W/YAL061W/YBR117C/YBR196C/YBR208C/YCL018W/YCL064C/YCR012W/YCR068W/YDL021W/YDL022W/YDR050C/YDR074W/YER037W/YER062C/YER141W/YFR055W/YGL001C/YGL012W/YGL205W/YGR043C/YGR060W/YGR087C/YGR088W/YGR175C/YGR240C/YGR248W/YGR256W/YHR174W/YHR208W/YIL053W/YIL160C/YJL052W/YJR009C/YJR148W/YKL060C/YKL152C/YKR031C/YKR058W/YLR044C/YLR134W/YLR142W/YLR164W/YLR446W/YML070W/YML075C/YMR015C/YMR118C/YMR169C/YMR170C/YMR207C/YMR250W/YMR278W/YMR323W/YOL059W/YOL086C/YOL126C/YOR081C/YOR274W/YOR393W/YPR026W/YPR035W/YPR184W",64
"Early to Thin (Down)","Metabolism","Carbohydrate metabolism","sce00010","Glycolysis / Gluconeogenesis","21/146","55/2564",0.381818181818182,6.70535491905355,10.5083919490505,2.85747039316361e-13,1.12870080529963e-11,7.21887257220281e-12,"YAL038W/YBR196C/YCR012W/YDL021W/YDR050C/YGR087C/YGR240C/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YLR044C/YLR134W/YLR446W/YMR169C/YMR170C/YMR278W/YMR323W/YOL086C/YOR393W",21
"Early to Thin (Down)","Metabolism","Global and overview maps","sce01200","Carbon metabolism","26/146","113/2564",0.230088495575221,4.04073220996484,8.12209983407938,2.00598214354143e-10,5.2824196446591e-09,3.37849624175399e-09,"YAL038W/YBR117C/YBR196C/YCL064C/YCR012W/YDL021W/YDR050C/YGL205W/YGR043C/YGR088W/YGR240C/YGR248W/YGR256W/YHR174W/YJL052W/YJR009C/YKL060C/YKL152C/YKR009C/YLR164W/YLR446W/YML070W/YMR118C/YMR323W/YOL126C/YOR393W",26
"Early to Thin (Down)","Metabolism","Energy metabolism","sce00710","Carbon fixation by Calvin cycle","8/146","21/2564",0.380952380952381,6.69015003261579,6.4325440305304,9.88240646835281e-06,0.000195177527749968,0.000124830397494983,"YBR117C/YCR012W/YDR050C/YGR043C/YJL052W/YJR009C/YKL060C/YOL126C",8
