UniqueCount	AmbigCount
77	0
14	0
64	0
24	0
54	0
22	0
159	0
769	0
33	0
59	0
32	0
599	0
35	0
549	0
46	0
395	113
86	0
39	0
560	0
1423	0
2887	0
22	0
51	0
37	0
48	0
36	0
69	0
88	0
445	0
793	0
394	0
12224	0
4	0
3	2
412	2116
168	0
31	0
241	0
524	0
18	0
478	0
68	0
171	0
342	1
47	0
49	0
63	0
911	0
124	0
46	0
17	0
103	0
28	0
71	0
23	0
189	0
134	0
43	0
150	0
91	0
110	0
92	0
35	0
89	0
17	0
13	0
10	0
0	0
11	0
47	0
35	0
54	0
58	0
148	0
34	0
28	0
47	0
55	0
191	0
261	0
73	0
326	0
253	0
489	13
28	0
69	0
103	0
79	0
64	0
6	0
5	2
582	0
97	0
26	0
19	0
429	0
789	19
159	0
15	0
21	0
217	0
115	0
56	0
76	0
32	0
53	0
14	0
31	0
84	0
69	0
199	0
88	0
94	0
381	0
9	0
330	0
26	0
61	0
56	0
80	0
186	0
15	0
112	0
52	0
19	0
85	0
1888	0
60	0
42	0
188	0
70	0
12	0
23	0
74	0
44	0
34	0
181	0
251	0
30	0
109	0
63	0
13	0
842	0
80	0
92	0
162	0
46	0
74	0
17	0
121	0
44	0
56	0
36	0
27	0
72	0
62	0
550	0
48	0
35	0
638	0
7764	0
169	0
1	0
66	0
150	0
38	0
74	0
54	0
64	0
130	0
97	0
14	0
17	0
26	0
16	0
53	0
38	0
54	0
9	0
61	0
202	19
57	0
7	0
29	0
203	0
29	0
30	0
1408	0
0	1
21	0
45	0
38	0
19	0
43	0
66	0
322	0
341	0
20	0
60	0
258	0
55	0
3	2
385	0
86	0
142	0
275	0
203	0
217	0
267	0
1271	0
140	0
0	1
97	0
114	0
53	0
15	0
10	0
53	0
44	0
270	0
45	0
193	0
1061	0
36	0
311	0
720	0
28	0
341	0
61	0
66	0
9	0
126	0
39	0
39	0
37	0
896	0
577	0
132	0
112	0
151	0
61	0
225	0
79	0
0	5
205	1
27	0
63	0
27	0
30	0
497	0
27	0
317	0
97	0
23	0
96	0
251	0
80	0
50	0
50	0
1034	0
38	0
259	0
69	0
27	0
140	0
135	0
21	0
238	0
282	0
95	0
144	36
62	0
26	0
424	0
47	0
30	0
105	0
264	0
52	0
26	0
2512	0
0	11
101	0
35	0
631	0
71	0
94	0
39	0
56	0
30	0
31	0
93	0
55	0
21	0
63	0
11	0
301	0
13	0
1293	0
894	0
1	0
0	1840
41	279
19	0
0	0
2	12
10	0
32	0
844	52
634	516
52	0
98	1
67	0
15	0
20	0
50	0
56	0
48	0
58	0
1	12
4	1
291	0
749	0
319	0
20	0
51	0
145	0
31	0
76	0
2675	0
84	0
245	0
95	0
23	0
230	0
106	0
1906	0
1	0
3	0
69	0
29	0
18	0
169	0
48	0
45	0
32	0
29	0
47	0
40	0
122	0
83	0
28	0
532	0
104	0
376	0
78	0
44	0
90	0
196	0
56	0
104	0
18	0
10	0
113	0
61	0
82	0
130	0
38	0
49	0
48	0
63	0
10025	0
173	0
277	0
61	0
38	0
52	0
34	0
30	0
39	0
19	0
152	0
20	0
144	0
22	0
20	0
173	0
821	0
65	0
42	0
65	0
3	0
91	0
27	0
10	0
10	0
15	0
8	0
18	0
0	0
59	0
109	0
39	0
372	0
124	0
38	0
2464	0
1220	647
4111	0
67	0
8	0
4	11
23	48
219	0
231	0
1213	0
252	0
479	0
43	0
34	0
24	0
3	0
22	0
106	0
89	0
312	0
178	0
123	0
0	0
628	0
8	0
253	0
57	0
57	0
52	0
1501	0
241	0
124	0
79	0
57	0
60	0
50	0
35	0
15	0
43	0
806	0
67	0
41	0
1044	0
17	0
30	0
130	0
264	38
5	38
61	0
19	0
30	0
38	0
470	0
141	0
442	0
109	0
82	0
104	0
35	0
91	0
87	0
25	0
11	0
57	0
224	0
52	0
109	3
11	0
122	0
42	0
15	0
1207	0
0	1
103	0
106	0
88	0
57	0
72	0
178	0
72	0
77	0
12	0
253	0
90	0
498	0
49	0
30	0
23	0
64	0
942	0
98	0
82	0
286	57
9	45
52	0
340	0
107	0
411	0
44	0
137	0
203	0
481	0
6	0
62	0
125	0
92	0
16	0
62	0
76	0
131	0
213	0
82	0
74	0
19	0
109	0
12	0
134	0
35	0
113	0
43	0
21	0
6	0
3	0
27	0
22	0
19	0
38	0
119	0
63	0
31	0
17	0
133	0
4	0
38	0
669	0
12	0
77	0
336	295
37	0
199	0
20	0
6	0
919	0
77	0
10	0
49	0
46	0
37	0
168	0
8	0
5	0
69	0
72	0
29	0
4	0
131	0
56	0
35	0
146	0
765	0
63	0
25	0
83	0
239	0
50	0
17	0
25	0
28	0
62	0
63	0
15	0
101	287
30	0
263	0
19	0
32	0
339	0
0	2394
0	0
38	0
257	0
12	0
2	0
2	0
62	0
41	0
83	0
3	0
186	0
33	0
37	0
489	0
49	0
105	0
95	0
31	0
106	0
78	0
248	0
59	0
52	0
154	304
42	0
205	0
57	0
48	0
137	0
24	0
9	0
27	18
0	2
99	0
54	0
3	0
406	0
85	0
9	0
14	0
2	9
123	0
54	0
2294	0
121	0
86	0
31	0
85	0
1	0
549	0
13	0
20	0
6	0
31	0
1012	0
32	0
164	0
246	0
47	0
83	0
12	0
5	0
0	0
41	0
124	0
34	0
455	0
172	0
346	0
114	0
74	0
50	0
20	0
91	0
20	0
45	0
63	0
61	0
884	1043
276	0
10	0
11	0
31	0
42	0
186	0
42	0
437	0
33	0
20	0
16	0
17	0
16	0
42	0
36	0
50	0
45	0
80	0
124	0
109	0
23	0
117	0
40	0
27	0
42	0
26	0
1	0
60	0
1568	0
65	0
67	0
532	0
111	0
21	0
112	0
121	0
27	0
37	0
0	0
23	0
31	0
1	0
28	0
57	0
842	0
37	0
144	0
23	0
29	0
109	0
108	0
189	0
27	0
61	0
15	0
79	0
189	0
148	0
47	0
92	0
162	0
844	0
24	0
178	0
44	0
54	0
53	0
362	0
36	0
40	0
118	0
151	0
190	0
82	0
40	0
71	0
253	1
143	0
654	0
20	0
51	0
19	0
58	0
0	0
145	0
24	0
169	0
864	0
154	0
25	0
20	0
1	0
243	0
91	0
54	0
104	0
128	0
66	0
